	road_name
803	Avenue du Lignon 46-60
804	Boulevard des Tranchées 35
805	Rue de Lyon 76-82
806	Route de Chêne 21-15
807	Av. de la Gare-des- Eaux-Vives 14
808	Rue De-Grenus
809	Rue de Montbrillant 10-30
810	Route du Pont Butin
811	Rue du 31 Décembre 7-1
812	Rue Ferdinand-Hodler
813	Boulevard Helvétique 16
814	Saint-Jean - Charmilles
815	Route des Jeunes
816	Unnamed Road
817	Route de Sous-Moulin
818	Route du Nant-d'Avril
819	Boulevard du Pont-d'Arve 29-21
820	Route de Malagnou 39-37
821	Chemin des Pâquerettes 22
822	Chemin du Pont-du-Centenaire 108-110
823	Avenue de Crozet
824	Chemin des Sports 2-10
825	Rue de la Prulay 11-1
826	Rampe de la Treille 5-3
827	Rue Jacques-Dalphin 46
828	Route de l'Aéroport 3-5
829	Route de Ferney 226
830	Route de Pré-Bois
831	Rampe de Choully 11-3
832	Rue des Pâquis 11-9
833	Boulevard Helvétique 31-25
834	Rue Henri-Frédéric-Amiel 2
835	Rue François-Dussaud 5-3
836	Chemin de Plein-Champs
837	Route de Troinex 2-4
838	Route de Thonon
839	Route de Saint-Julien 270-278
840	Route de Presinge
841	Route de Lausanne 314-318
842	Route de Certoux 19-15
843	Chemin de la Marguerite 2-8
844	E62
845	Rue de l'Ecole-de-Médecine 4-6
846	Chemin de la Traille 15-13
847	Chemin Rieu
848	Rue François-Durafour 17
849	Route de Peney 20
850	Route de Malagnou
851	Voie Centrale
852	E25
853	Route des Franchises
854	E62
855	Chemin de Pont-Céard
856	Rue des Grottes 16-22
857	Cours de Rive
858	Avenue A.-M.-Mirany 36
859	Rue du Fort-Barreau 19-13
860	Centre-Plainpalais-Acacias
861	Rue de Montbrillant 5-1
862	Pont du Mont-Blanc
863	Rue de Lyon
864	Avenue de Mategnin
865	Chemin Rieu
866	Rue de Lyon 1
867	Geneva
868	Boulevard Georges-Favon 27-23
869	Route de Peney 48-50
870	E62
871	Tunnel de Vernier
872	Rue François-Perréard
873	Chemin du Petit-Bel-Air 2
874	Avenue de Thônex
875	Avenue Théodore-Weber 13
876	Boulevard du Pont-d'Arve 38-44
877	E62
878	Avenue du Pailly
879	Rue Docteur-Alfred-Vincent 9-5
880	Avenue du Mail 26
881	Rue Ami-Lullin 4-6
882	Chemin du Curé-Desclouds 31
883	Chemin Lullin
884	Rue Jean-Charles Amat 5-1
885	Route de Choulex 133-125
886	Chemin du Pré-de-Lug 12-2
887	Route de Vernier 137
888	Route de Vandœuvres
889	Route de Saint-Julien 165
890	Route de Vernier
891	Unnamed Road
892	Route de Chevrens 194
893	Pâquis-Nations
894	Route de l'Uche
895	Rue de Vermont 59-55
896	Chemin du Pré-Cartelier 19-7
897	Chemin Rieu
898	Avenue Krieg
899	Rue de l'Ecole-de-Chimie 2-4
900	Avenue Wendt
901	Rue Lombard 18-24
902	Pont de Saint-Georges
903	Vernier
904	Rue du Stand 48
905	Route des Romelles
906	Route de Chancy 100
907	Rond-Point de Plainpalais 7
908	Rue du Diorama 3-5
909	Unnamed Road
910	Route des Acacias
911	Route de Suisse 22-36
912	Rue du Vidollet 45-31
913	Quai du Mont-Blanc 13
914	Chemin de la Pallanterie 11-5
915	A1a
916	Rue de la Colline 3
917	Route de Bellegarde 105
918	Route de Meyrin
919	Route de Malagnou
920	Rue Cavour 16-20
921	Boulevard Georges-Favon 30-32
922	Avenue Adrien-Lachenal
923	Rue de la Servette 67-53
924	Rue de la Servette 67-53
925	Rue François-Durafour 17
926	Route de Veyrier 53-51
927	Avenue de Mategnin 5
928	Rue de Chêne-Bougeries 32-36
929	Avenue Louis-Rendu
930	Quai Wilson
931	Place des Casemates
932	Quai Gustave-Ador 68-78
933	Rue de Lyon
934	Promenade de l'Europe
935	Chemin des Bossonailles 23-21
936	Route de Peney
937	Rue Gabrielle-Perret-Gentil
938	Unnamed Road
939	Unnamed Road
940	Avenue du Lignon
941	Route de Lullier 50-56
942	Avenue de l'Amandolier 19-11
943	Rue du Vieux-Billard 9-5
944	Route de Veigy 108-124
945	Rue des Charmilles 10-14
946	Chemin des Rasses
947	Route de Covéry
948	Route de Meyrin
949	Route de Champvigny 51-29
950	Rue de Montbrillant 5-1
951	Route du Pré-Recoux 45-43
952	Rue Jacques-Dalphin 7
953	Pâquis-Nations
954	Pâquis-Nations
955	Route de l'Aéroport
956	Rue du Grand-Pré
957	E62
958	Chemin de l'Escalade 10-34
959	Route de Meyrin
960	Rue Voltaire 20-26
961	Rue de Chantepoulet 13-1
962	Rue des Glacis-de-Rive
963	Route du Nant-d'Avril 67-49
964	Rue Hans Wilsdorf
965	Rue de Livron
966	Rue de la Servette 40
967	Avenue Louis-Aubert 86
968	Rue du Léman 7-1
969	Rue des Charmilles 10-14
970	Quai de Cologny 1
971	Avenue Louis-Casaï 73-71
972	Chemin Antoine-Verchère 6
973	Rue Liotard
974	Route des Franchises 2
975	Chemin des Coudriers
