ID_GM_CARREFOUR;TYPE;COMMENTAIRE;DATE_MAJ;RAYON;E;N
226145;Autres carrefours;;2008-04-18 16:22:01;;2492621.69;1113088.35
224192;Autres carrefours;;2008-04-18 16:22:01;;2488463.35;1113038.77
227904;Autres carrefours;;2008-04-18 16:22:01;;2488028.59;1113005.46
225480;Autres carrefours;;2008-04-18 16:22:01;;2494781.56;1114556.58
225479;Autres carrefours;;2008-04-18 16:22:01;;2494886.78;1114428.27
224225;Autres carrefours;;2008-04-18 16:22:01;;2495079.24;1114639.24
225675;Autres carrefours;;2008-04-18 16:22:01;;2495444.45;1115646.07
225674;Autres carrefours;;2008-04-18 16:22:01;;2495955.78;1115143.79
225453;Autres carrefours;;2008-04-18 16:22:01;;2496083.53;1114884.85
233327;Impasse;;2010-11-24 08:52:33;;2496077.79;1119903.39
233122;Impasse;;2010-11-24 10:11:56;;2504478.23;1116904.92
225840;Autres carrefours;;2011-01-10 10:43:48;;2496047.77;1119107.04
236749;Changement voie;;2011-01-10 10:53:11;;2496167.67;1118816.72
236750;Autres carrefours;;2011-01-10 10:53:11;;2496106.91;1118684.46
236806;Changement voie;;2011-01-17 11:00:10;;2507629.83;1126984.97
232050;Frontière;;2011-02-08 13:30:12.000001;;2493526.91;1111972.73
232874;Frontière;;2011-02-08 13:30:24;;2493704.51;1111962.25
232492;Frontière;;2011-02-08 13:32:45;;2494485.63;1111751.28
233280;Frontière;;2011-02-08 13:34:28;;2494627.12;1111725.68
227635;Giratoire;;2016-02-18 10:24:16;8;2490456.49;1114121.12
233334;Frontière;;2011-02-08 13:37:10;;2495608.53;1111917.68
233377;Frontière;;2011-02-08 13:40:12;;2497054.25;1111141.40
232932;Frontière;;2011-02-08 15:06:41;;2504968.79;1116375.83
233384;Frontière;;2011-02-08 13:44:07;;2498973.49;1110715.96
233039;Frontière;;2011-02-08 13:46:24;;2500246.21;1111386.54
